fold,seed,multiCLassAUC,meanBalancedACC,Train_procrustedCorr,Test_procrustedCorr,numFeatures,TrainAUC,mtry,Labels
4,39,0.622222222222222,0.5560439560439561,0.44919294260262477,0.825379133503244,6,0.656419141969142,2.449489742783178,Permuted
5,39,0.383333333333333,0.47270833333333334,0.4217006170111716,0.6456964852634605,4,0.627592784992785,2,Permuted
1,40,0.427777777777778,0.5271978021978022,0.9552374074937875,0.9845887444315696,229,0.4604461094461094,2,Permuted
2,40,0.486111111111111,0.44356060606060604,0.4840379772914254,0.6807404535417961,6,0.7073269064269064,2,Permuted
3,40,0.494444444444444,0.526875,0.2780648108704986,0.43491777034643286,1,0.5774867632367632,1,Permuted
4,40,0.338888888888889,0.5543750000000001,0.5662082598976594,0.6324659344485032,4,0.571041452991453,2,Permuted
5,40,0.355555555555556,0.44452380952380954,0.3552581965666858,0.6740614422009702,5,0.6037211344211344,2,Permuted
1,41,0.430555555555556,0.47214285714285714,0.9638345186615118,0.9568187996974499,229,0.470727084027084,15.132745950421556,Permuted
2,41,0.416666666666667,0.5019230769230769,0.46710768142861975,0.6348747423364586,5,0.5938164835164835,2.23606797749979,Permuted
3,41,0.586111111111111,0.6088095238095238,0.4480485916304637,0.5097697662943648,6,0.5919347985347986,2.449489742783178,Permuted
4,41,0.468055555555556,0.5016483516483516,0.3711297916737091,0.579962103680427,4,0.6320368187368187,2,Permuted
5,41,0.448611111111111,0.49833333333333335,0.47493556085161087,0.7028064524058598,5,0.6149288655788656,2,Permuted
1,42,0.333333333333333,0.4726190476190476,0.3052175920768898,0.44032250247323956,2,0.6296756132756133,1.4142135623730951,Permuted
2,42,0.577777777777778,0.5547916666666667,0.5059278605481651,0.6348064184786125,3,0.640816860916861,2,Permuted
3,42,0.588888888888889,0.5269047619047619,0.4466364220423972,0.6342542623995474,8,0.712354773004773,2.8284271247461903,Permuted
4,42,0.630555555555556,0.5266483516483517,0.33829947392278703,0.6071403432664139,3,0.6287128538128538,2,Permuted
5,42,0.477777777777778,0.555448717948718,0.47312197111605064,0.6840420301166213,5,0.687182955932956,2,Permuted
1,43,0.516666666666667,0.4439102564102564,0.3281261103426713,0.5432250438925792,3,0.6190382894882895,2,Permuted
2,43,0.430555555555556,0.4723809523809524,0.9527611394719818,0.9811772273629618,229,0.5527055167055167,15.132745950421556,Permuted
3,43,0.397222222222222,0.445,0.5107255744581471,0.6722451975159293,5,0.6864811965811966,2.23606797749979,Permuted
4,43,0.544444444444445,0.5295238095238095,0.45718692280562284,0.7058592770173023,6,0.6919839327339328,2.449489742783178,Permuted
5,43,0.441666666666667,0.47285714285714286,0.43424184217248946,0.607941948058259,4,0.6327366189366189,2,Permuted
1,44,0.508333333333333,0.5011904761904762,0.31420662354632284,0.6048608524081024,2,0.5573869796869797,1.4142135623730951,Permuted
2,44,0.430555555555556,0.5028846153846154,0.44179348421204073,0.6861100226718272,5,0.6037658119658119,2,Permuted
