fold,seed,AUC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Train_procrustedCorr,Test_procrustedCorr,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,numFeatures,TrainlogLoss,TrainAUC,TrainprAUC,TrainAccuracy,TrainKappa,TrainF1,TrainSensitivity,TrainSpecificity,TrainPos_Pred_Value,TrainNeg_Pred_Value,TrainPrecision,TrainRecall,TrainDetection_Rate,TrainBalanced_Accuracy,method,mtry,positiveClass,Labels
1,5,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.949702522626128,0.9731754128438078,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.07747365912519037,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45706959706959704,1,rf,2,C3H,True
2,5,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9516637916295237,0.9759233274741562,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07287883848467348,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
3,5,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9440048758688372,0.9697039310969474,1,1,1,1,1,1,1,0.5,0.5,0.5,1,41,0.07310556756582615,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.457025641025641,1,rf,2,C3H,True
4,5,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9484860555334291,0.9610640400948401,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,42,0.07444968270200222,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
5,5,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9515535213358809,0.9696749930412739,1,1,1,1,1,1,1,0.375,0.375,0.375,1,46,0.08020968305489659,1,0.8530952380952381,1,1,1,1,1,1,1,1,1,0.47135531135531133,1,rf,2,C3H,True
6,5,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.9574903098147282,0.961584914706162,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,44,0.07628163689141854,1,0.8535714285714286,1,1,1,1,1,1,1,1,1,0.4636776556776557,1,rf,2,C3H,True
7,5,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.949340729059102,0.9742720080115169,1,1,1,1,1,1,1,0.5,0.5,0.5,1,45,0.07944490412296726,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.457025641025641,1,rf,2,C3H,True
8,5,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9472876080172137,0.9782183036213096,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,41,0.07429434531384782,1,0.8520238095238096,1,1,1,1,1,1,1,1,1,0.46474725274725276,1,rf,2,C3H,True
9,5,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9588284331688116,0.9830989643742628,1,1,1,1,1,1,1,0.5,0.5,0.5,1,49,0.07690999259370346,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
10,5,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9525860896635756,0.9764347599436227,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07612571412565657,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
