fold,seed,AUC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Train_procrustedCorr,Test_procrustedCorr,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,numFeatures,TrainlogLoss,TrainAUC,TrainprAUC,TrainAccuracy,TrainKappa,TrainF1,TrainSensitivity,TrainSpecificity,TrainPos_Pred_Value,TrainNeg_Pred_Value,TrainPrecision,TrainRecall,TrainDetection_Rate,TrainBalanced_Accuracy,method,mtry,positiveClass
1,87,0.583333333333333,0.7142857142857143,0.4166666666666668,0.2904208637373427,0.9633074338239145,0.5714285714285714,0.3593449279515458,1,0.6995434812993067,0.643974708227337,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.7083333333333333,2,0.8401597730659949,0.6688945578231292,0.57905241715956,0.59803663003663,0.1960019452898323,0.5735314881197234,0.5923809523809523,0.6042857142857143,0.5782222222222222,0.632972582972583,0.5782222222222222,0.5923809523809523,0.27466666666666667,0.5983333333333333,rf,2,C3H
2,87,0.5,0.75,0.5,0.3491442055871758,0.9681459737500557,0.5,0.14453125000000006,0.4795001221869535,0.9991083672572205,0.9999347318717612,1,0.5,0.6666666666666666,1,0.6666666666666666,1,0.8,0.5,0.5,0.75,0.75,229,0.7119293307302771,0.43837585034013604,0.44152664927664925,0.5427545787545788,0.018533938260976435,0.3173809523809524,0.0838095238095238,0.9321428571428572,0.5104166666666666,0.5476157176157176,0.5104166666666666,0.0838095238095238,0.03679120879120879,0.5079761904761905,rf,2,C3H
3,87,0.625,0.75,0.5,0.3491442055871758,0.9681459737500557,0.5,0.14453125000000006,1,0.18282821250415424,0.48952612706906745,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.375,0.5,0.75,2,0.8646896970590314,0.5912925170068027,0.5153858137563495,0.5515750915750915,0.08299972992909728,0.4066597346009111,0.3457142857142857,0.7335714285714285,0.5875631313131313,0.5578215118215119,0.5875631313131313,0.3457142857142857,0.15756776556776556,0.5396428571428571,rf,2,C3H
4,87,0.4,0.6666666666666666,0.30769230769230765,0.2992950562085404,0.9251453685803082,0.5555555555555556,0.3743106756545341,1,0.30669898778683613,0.5684681749774225,0.5,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.65,1,1.4428544840116748,0.6325,0.5056229998506784,0.565025641025641,0.13451465848667202,0.5418004740357681,0.5599999999999999,0.575,0.5462698412698412,0.5971515151515151,0.5462698412698412,0.5599999999999999,0.25866666666666666,0.5675,rf,2,C3H
5,87,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.3573124385205196,0.807488431709309,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,3,0.6975843042289134,0.725204081632653,0.6231901919178705,0.6456703296703297,0.2855330713816402,0.600208948945791,0.6,0.6864285714285714,0.6373650793650794,0.6844069264069264,0.6373650793650794,0.6,0.27906227106227105,0.6432142857142857,rf,2,C3H
6,87,0.5,0.6666666666666666,0.30769230769230765,0.2992950562085404,0.9251453685803082,0.5555555555555556,0.3743106756545341,1,0.7328270962046035,0.6554086058988597,0.5,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.65,3,0.6390090488326009,0.7486904761904761,0.6303780510164438,0.6775384615384615,0.3527679755922325,0.6575236136412607,0.6742857142857143,0.6785714285714286,0.6618253968253969,0.7112020202020202,0.6618253968253969,0.6742857142857143,0.3129230769230769,0.6764285714285714,rf,2,C3H
7,87,0.5,0.5714285714285714,0.22222222222222224,0.18405156764008304,0.9010117215574921,0.5714285714285714,0.653100080991521,0.24821307898992362,0.13464083493669649,0.5401774050238035,1,0.25,0.5,1,0.5,1,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.625,2,1.0665304529191957,0.5416241496598639,0.5037164066092638,0.5524835164835165,0.09403060306420837,0.49567171662759896,0.47523809523809524,0.6207142857142857,0.5023333333333333,0.5911199911199911,0.5023333333333333,0.47523809523809524,0.21966300366300365,0.5479761904761905,rf,2,C3H
8,87,0.875,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.5322549902711865,0.8775810981897749,0.75,1,1,0.8,1,0.75,0.8571428571428571,0.5,0.375,0.375,0.875,5,0.630575965803518,0.7174319727891156,0.6162842233824377,0.6540805860805861,0.3115852212631521,0.6258461538461538,0.6390476190476191,0.675,0.6542857142857142,0.694051948051948,0.6542857142857142,0.6390476190476191,0.29145787545787544,0.6570238095238096,rf,2,C3H
9,87,0.5,0.7142857142857143,0.4615384615384616,0.2904208637373427,0.9633074338239145,0.5714285714285714,0.3593449279515458,0.4795001221869535,0.7385135944315654,0.8689199492770673,1,0.5,0.6000000000000001,1,0.6,1,0.7499999999999999,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.75,6,0.5906123676621287,0.7527721088435374,0.6438892061972419,0.7324981684981685,0.4564061589682543,0.6927575757575757,0.6819047619047619,0.7714285714285715,0.745024531024531,0.7519206349206349,0.745024531024531,0.6819047619047619,0.3182857142857143,0.7266666666666667,rf,2,C3H
10,87,0.78125,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.6855355536684298,0.8376281233726359,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,2,0.7985086099281606,0.6572789115646258,0.5631311464659678,0.5954725274725274,0.18678057741677337,0.5689151398710223,0.5638095238095238,0.6221428571428571,0.5595555555555556,0.6348354978354978,0.5595555555555556,0.5638095238095238,0.25806593406593403,0.5929761904761904,rf,2,C3H
